run_index,voted_redundant_blocks,num_voted_blocks
1,"4,24,25,26,28,30,33,34,35,38,39,40,41",13
2,"4,24,25,26,29,30,32,33,34,35,38,39,40,41",14
3,"4,24,25,26,30,33,34,35,38,39,40,41",12
4,"4,24,25,26,30,32,33,34,35,38,39,40,41,42",14
5,"4,24,25,26,29,30,32,33,34,35,38,39,40,41",14
6,"4,24,25,26,30,33,34,35,38,39,40,41",12
7,"4,24,25,26,30,32,33,34,35,38,39,40,41",13
8,"4,24,25,26,30,33,34,35,38,39,40,41",12
9,"24,25,26,29,30,33,34,35,38,39,40,41,42",13
10,"24,25,26,30,31,33,34,35,38,39,40,41",12
11,"24,25,26,27,28,29,30,33,34,35,38,39,40,41",14
12,"4,24,25,26,30,32,33,34,35,38,39,40,41",13
13,"4,24,25,26,28,30,33,34,35,38,39,40,41,42",14
14,"4,24,25,26,27,28,30,33,34,35,38,39,40,41,42",15
15,"4,24,25,26,29,30,32,33,34,35,38,39,40,41",14
16,"4,24,25,26,28,30,31,33,34,35,38,39,40,41",14
17,"4,24,25,26,30,33,34,35,38,39,40,41",12
18,"4,23,24,25,26,29,30,32,33,34,35,38,39,40,41",15
19,"24,25,26,28,30,33,34,35,38,39,40,41",12
20,"4,24,25,26,28,29,30,32,33,34,35,38,39,40,41",15
21,"4,24,25,26,27,30,33,34,35,38,39,40,41",13
22,"24,25,26,28,29,30,31,33,34,35,38,39,40,41",14
23,"4,24,25,26,28,30,32,33,34,35,38,39,40,41",14
24,"4,24,25,26,30,33,34,35,38,39,40,41",12
25,"24,25,26,30,33,34,35,38,39,40,41",11
26,"4,24,25,26,30,32,33,34,35,38,39,40,41",13
27,"4,24,25,26,28,29,30,31,32,34,35,38,39,40,41",15
28,"4,24,25,26,28,30,31,32,33,34,35,38,39,40,41,42",16
29,"4,24,25,26,29,30,32,33,34,35,38,39,40,41,42",15
30,"24,25,30,31,33,34,35,38,39,40,41,42",12
31,"4,24,25,26,30,32,33,34,35,38,39,40,41",13
32,"24,25,26,28,30,33,34,35,38,39,40,41",12
33,"4,24,25,26,29,30,33,34,35,38,39,40,41,42",14
34,"4,24,25,26,28,30,33,34,35,38,39,40,41",13
35,"4,24,25,26,30,33,34,35,38,39,40,41,42",13
36,"4,24,25,26,29,30,33,34,35,38,39,40,41",13
37,"4,24,25,26,30,33,34,35,38,39,40,41,42",13
38,"24,25,26,28,30,33,34,35,38,39,40,41,42",13
39,"4,24,25,26,28,30,32,33,34,35,38,39,40,41,42",15
40,"4,24,25,26,30,33,34,35,38,39,40,41",12
41,"24,25,26,30,33,34,35,38,39,40,41",11
42,"4,24,25,26,30,33,34,35,38,39,40,41",12
43,"24,25,26,28,30,33,34,35,38,39,40,41",12
44,"4,24,25,26,28,30,32,33,34,35,38,39,40,41",14
45,"4,24,25,26,27,30,31,32,33,34,35,38,39,40,41",15
46,"4,24,25,26,30,33,34,35,38,39,40,41",12
47,"24,25,26,28,30,33,34,35,38,39,40,41",12
48,"4,24,25,26,28,30,32,33,34,35,38,39,40,41",14
49,"4,24,25,26,30,33,34,35,38,39,40,41",12
50,"4,24,25,26,27,30,32,33,34,35,38,39,40,41,42",15
51,"24,25,26,28,29,30,31,33,34,35,38,39,40,41",14
52,"24,25,26,27,28,30,32,33,34,35,38,39,40,41",14
53,"24,25,26,30,33,34,35,38,39,40,41",11
54,"4,24,25,26,30,33,34,35,38,39,40,41",12
55,"4,24,25,26,29,30,32,33,34,35,38,39,40,41",14
56,"4,24,25,26,27,28,29,30,33,34,35,38,39,40,41",15
57,"4,24,25,26,28,30,33,34,35,38,39,40,41,42",14
58,"4,24,25,26,28,29,30,33,34,35,38,39,40,41,42",15
59,"4,24,25,26,28,30,33,34,35,38,39,40,41",13
60,"24,25,26,29,30,33,34,35,38,39,40,41",12
61,"4,24,25,26,29,30,33,34,35,38,39,40,41",13
62,"4,24,25,26,28,30,32,34,35,38,39,40,41",13
63,"24,25,26,30,31,33,34,35,38,39,40,41",12
64,"4,24,25,26,30,33,34,35,38,39,40,41,42",13
65,"4,24,25,26,27,30,33,34,35,38,39,40,41",13
66,"4,24,25,26,30,31,33,34,35,38,39,40,41",13
67,"4,24,25,26,28,30,33,34,35,38,39,40,41",13
68,"4,24,25,26,30,32,33,34,35,38,39,40,41",13
69,"4,24,25,26,28,30,32,33,34,35,38,39,40,41",14
70,"4,24,25,26,28,30,33,34,35,38,39,40,41,42",14
71,"4,24,25,26,30,32,33,34,35,38,39,40,41,42",14
72,"4,24,25,26,30,33,34,35,38,39,40,41",12
73,"4,24,25,26,28,29,30,33,34,35,38,39,40,41",14
74,"4,24,25,26,28,30,31,33,34,35,38,39,40,41",14
75,"4,24,25,26,28,30,31,32,33,34,35,38,39,40,41,42",16
76,"4,24,25,26,28,30,33,34,35,38,39,40,41",13
77,"4,24,25,26,30,32,33,34,35,38,39,40,41",13
78,"4,24,25,26,30,33,34,35,38,39,40,41,42",13
79,"4,24,25,26,29,30,31,32,33,34,35,38,39,40,41",15
80,"4,23,24,25,26,28,30,31,34,35,38,39,40,41",14
81,"4,24,25,26,30,32,33,34,35,38,39,40,41",13
82,"4,24,25,26,28,30,33,34,35,38,39,40,41",13
83,"4,24,25,26,30,33,34,35,38,39,40,41",12
84,"24,25,26,30,33,34,35,38,39,40,41,42",12
85,"4,24,25,26,29,30,31,33,34,35,38,39,40,41",14
86,"24,25,26,28,29,30,33,34,35,38,39,40,41",13
87,"24,25,26,28,29,30,31,33,34,35,38,39,40,41",14
88,"24,25,26,30,32,33,34,35,38,39,40,41,42",13
89,"4,23,24,25,26,30,33,34,35,38,39,40,41",13
90,"24,25,26,29,30,31,32,33,34,35,38,39,40,41",14
91,"4,24,25,26,28,29,30,32,33,34,35,38,39,40,41",15
92,"4,24,25,26,30,33,34,35,38,39,40,41,42",13
93,"24,25,26,29,30,33,34,35,38,39,40,41",12
94,"4,24,25,26,29,30,31,33,34,35,38,39,40,41,42",15
95,"24,25,26,28,29,30,31,33,34,35,38,39,40,41",14
96,"4,24,25,26,28,30,33,34,35,38,39,40,41",13
97,"4,24,25,26,30,31,32,33,34,35,38,39,40,41",14
98,"4,24,25,26,28,30,32,33,34,35,38,39,40,41",14
99,"4,24,25,26,28,30,33,34,35,38,39,40,41",13
100,"4,24,25,26,29,30,31,33,34,35,38,39,40,41",14
