run_index,voted_redundant_blocks,num_voted_blocks
1,"20,21,22",3
2,"20,21,22",3
3,"20,21,22",3
4,"20,21,22",3
5,"20,21,22",3
6,"20,21,22",3
7,"20,21,22",3
8,"20,21,22",3
9,"15,20,21,22",4
10,"20,21,22",3
11,"20,21,22",3
12,"20,21,22",3
13,"20,21,22",3
14,"15,20,21,22",4
15,"20,21,22",3
16,"15,20,21,22",4
17,"20,21,22",3
18,"20,21,22",3
19,"20,21,22",3
20,"20,21,22",3
21,"20,21,22",3
22,"20,21,22",3
23,"20,21,22",3
24,"15,20,21,22",4
25,"20,21,22",3
26,"20,21,22",3
27,"20,21,22",3
28,"20,21,22",3
29,"13,20,21,22",4
30,"15,20,21,22",4
31,"20,21,22",3
32,"20,21,22",3
33,"20,21,22",3
34,"20,21,22",3
35,"20,21,22",3
36,"20,21,22",3
37,"15,20,21,22",4
38,"20,21,22",3
39,"15,20,21,22",4
40,"20,21,22",3
41,"20,21,22",3
42,"20,21,22",3
43,"20,21,22",3
44,"20,21",2
45,"20,21,22",3
46,"20,21,22",3
47,"20,21,22",3
48,"15,20,21,22",4
49,"20,21,22",3
50,"20,21,22",3
51,"20,21,22",3
52,"20,21,22",3
53,"20,21,22",3
54,"15,20,21,22",4
55,"15,20,21,22",4
56,"20,21,22",3
57,"20,21,22",3
58,"20,21,22",3
59,"20,21,22",3
60,"20,21,22",3
61,"15,20,21,22",4
62,"20,21,22",3
63,"20,21,22",3
64,"20,21,22",3
65,"20,21,22",3
66,"20,21,22",3
67,"20,21,22",3
68,"20,21,22",3
69,"20,21,22",3
70,"20,21,22",3
71,"20,21,22",3
72,"20,21,22",3
73,"15,20,21,22",4
74,"15,20,21,22",4
75,"20,21,22",3
76,"20,21,22",3
77,"20,21,22",3
78,"20,21,22",3
79,"20,21,22",3
80,"20,21,22",3
81,"20,21,22",3
82,"20,21,22",3
83,"13,15,20,21,22",5
84,"20,21,22",3
85,"15,20,21,22",4
86,"15,20,21,22",4
87,"15,20,21,22",4
88,"15,20,21,22",4
89,"15,20,21,22",4
90,"15,20,21,22",4
91,"15,20,21,22",4
92,"20,21,22",3
93,"20,21,22",3
94,"20,21,22",3
95,"15,20,21,22",4
96,"20,21,22",3
97,"15,20,21,22",4
98,"20,21,22",3
99,"20,21,22",3
100,"20,21,22",3
