run_index,voted_redundant_blocks,num_voted_blocks
1,"11,12,14,16,17,20",6
2,"11,12,14,16,17,20,25",7
3,"11,12,14,16,17,20",6
4,"11,12,14,16,17,20",6
5,"11,12,14,16,17,20",6
6,"11,12,14,16,17,20",6
7,"11,12,14,16,17,20,25",7
8,"11,12,14,16,17,20,25",7
9,"11,12,14,16,17,20",6
10,"11,12,14,16,17,20,25",7
11,"11,12,14,16,17,20",6
12,"11,12,14,16,17,20,25",7
13,"11,12,14,16,17,20",6
14,"11,12,14,16,17,20,25",7
15,"11,12,14,16,17,20",6
16,"11,12,14,16,17,20",6
17,"11,12,14,16,17,20",6
18,"11,12,14,16,17,20",6
19,"11,12,14,16,17,20",6
20,"11,12,14,16,17,20",6
21,"11,12,14,16,17,20",6
22,"11,12,14,16,17,20",6
23,"11,12,14,16,17,20",6
24,"11,12,14,16,17,20,25",7
25,"11,12,14,16,17,20",6
26,"11,12,14,16,17,20",6
27,"11,12,14,16,17,20",6
28,"11,12,14,16,17,20,25",7
29,"11,12,14,16,17,20,25",7
30,"11,12,14,16,17,20",6
31,"11,12,14,16,17,20",6
32,"11,12,14,16,17,20",6
33,"11,12,14,16,17,20,25",7
34,"11,12,14,16,17,20",6
35,"11,12,14,16,17,20",6
36,"11,12,14,16,17,20",6
37,"11,12,14,16,17,20",6
38,"11,12,14,16,17,20,25",7
39,"11,12,14,16,17,20",6
40,"11,12,14,16,17,20",6
41,"11,12,14,16,17,20",6
42,"11,12,14,16,17,20,25",7
43,"11,12,14,16,17,20",6
44,"11,12,14,16,17,20,25",7
45,"11,12,14,16,17,20",6
46,"11,12,14,16,17,20",6
47,"11,12,14,16,17,20",6
48,"11,12,14,16,17,20,25",7
49,"11,12,14,16,17,20,25",7
50,"11,12,14,16,17,20",6
51,"11,12,14,16,17,20",6
52,"11,12,14,16,17,20",6
53,"11,12,14,16,17,20",6
54,"11,12,14,16,17,20",6
55,"11,12,14,16,17,20,25",7
56,"11,12,14,16,17,20",6
57,"11,12,14,16,17,20",6
58,"11,12,14,16,17,20",6
59,"11,12,14,16,17,20",6
60,"11,12,14,16,17,20",6
61,"11,12,14,16,17,20",6
62,"11,12,14,16,17,20",6
63,"11,12,14,16,17,20",6
64,"11,12,14,16,17,20",6
65,"11,12,14,16,17,20",6
66,"11,12,14,16,17,20",6
67,"11,12,14,16,17,20",6
68,"11,12,14,16,17,20",6
69,"11,12,14,16,17,20",6
70,"11,12,14,16,17,20",6
71,"11,12,14,16,17,20",6
72,"11,12,14,16,17,20",6
73,"11,12,14,16,17,20",6
74,"11,12,14,16,17,20",6
75,"11,12,14,16,17,20",6
76,"11,12,14,16,17,20,25",7
77,"11,12,14,16,17,20,25",7
78,"11,12,14,16,17,20",6
79,"11,12,14,16,17,20,25",7
80,"11,12,14,16,17,20",6
81,"11,12,14,16,17,20",6
82,"11,12,14,16,17,20",6
83,"11,12,14,16,17,20",6
84,"11,12,14,16,17,20",6
85,"11,12,14,16,17,20,25",7
86,"11,12,14,16,17,20",6
87,"11,12,14,16,17,20,25",7
88,"11,12,14,16,17,20,25",7
89,"11,12,14,16,17,20",6
90,"11,12,14,16,17,20",6
91,"11,12,14,16,17,20",6
92,"11,12,14,16,17,20",6
93,"11,12,14,16,17,20",6
94,"11,12,14,16,17,20,25",7
95,"11,12,14,16,17,20",6
96,"11,12,14,16,17,20",6
97,"11,12,14,16,17,20",6
98,"11,12,14,16,17,20",6
99,"11,12,14,16,17,20",6
100,"11,12,14,16,17,20",6
